MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
4007,T14MC0039J,08/04/2014,Loft@Stevens,Active,68 STEVENS ROAD SINGAPORE 257856,"68 STEVENS ROAD
#01-03 LOFT@STEVENS
 SINGAPORE 257856",68861936,Ocean IFM Pte Ltd,68861936
4008,T13MC0101A,24/10/2013,DUCHESS ROYALE,Active,32 DUCHESS AVENUE SINGAPORE 269105,"32 DUCHESS AVENUE
DUCHESS ROYALE
 SINGAPORE 269105",62230169,SMART PROPERTY MANAGEMENT (S) PTE LTD,62230169
4009,T14MC0047L,28/05/2014,DORSETT RESIDENCES,Active,331 NEW BRIDGE ROAD SINGAPORE 088764,"331 NEW BRIDGE ROAD
#01-01 DORSETT RESIDENCES
 SINGAPORE 088764",64442866,Savills Property Management Pte Ltd,63483238
4010,T14MC0065G,01/07/2014,RAINTREE GARDENS (TERMINATED),Terminated,110 POTONG PASIR AVENUE 1 SINGAPORE 350110,"101 THOMSON ROAD
#33-00 UVD PROJECTS PTE LTD
 SINGAPORE 307591",68411524,Pacific Property Management Pte Ltd,96334178
4011,T14MC0134J,05/12/2014,JOOL SUITES,Active,2 SING JOO WALK SINGAPORE 217811,"2 SING JOO WALK
JOOL SUITES
 SINGAPORE 217811",62230169,,
4012,T13MC0117D,10/12/2013,THE SOUND,Active,541 EAST COAST ROAD SINGAPORE 429070,"541 EAST COAST ROAD
#02-07 THE SOUND
 SINGAPORE 429070",66046285,Rhodo Strata Management Services Pte Ltd,6909 8574
4013,T14MC4013J,13/06/2014,RIO CASA (Terminated),Terminated,349 HOUGANG AVENUE 7 SINGAPORE 530349,"349 
#01-609 RIO CASA
 SINGAPORE 530349",62807085,Teams Strata Management Services Pte Ltd,64407948
4014,T13MC0113J,27/11/2013,SHAMROCK VILLAS,Active,41 TO 53/A-E NAMLY PLACE SINGAPORE 267189,"53E NAMLY PLACE
#53E-#53E- SHAMROCK VILLAS
 SINGAPORE 267189",Catherine NG,Ace Body Corporate Management Pte Ltd,
4015,T14MC0030A,21/03/2014,THE WHARF RESIDENCE,Active,7 TONG WATT ROAD SINGAPORE 238002,"13 TONG WATT ROAD
THE WHARF RESIDENCE
 SINGAPORE 238025",66047061,Jones Lang LaSalle Property Consultants Pte Ltd,66047061
4016,T14MC0062H,19/06/2014,SEVEN CRESCENT,Active,7  CRESCENT ROAD SINGAPORE 439294,"7 CRESCENT ROAD
SEVEN CRESCENT 
 SINGAPORE 439294",65815604,Avalon Asset Management Pte Ltd,65815604
4017,T14MC0055C,05/06/2014,GRANDIOSO 8,Active,8 BRIGHT HILL CRESCENT SINGAPORE 579667,"8 BRIGHT HILL CRESCENT
GRANDIOSO 8
 SINGAPORE 579667",88196930,Realty International Associates Pte Ltd,91876569
4019,T13MC0122G,27/12/2013,JADE GARDEN,Active,22 ROBIN ROAD SINGAPORE 258201,"22 ROBIN ROAD
#B1-01 JADE GARDEN
 SINGAPORE 258201",97975775,KIRIN ASSET MANAGEMENT PTE LTD,67336845
4020,T14MC0079G,29/07/2014,SIGLAP V,Active,2 FIRST STREET SINGAPORE 458278,"2 FIRST STREET
#01-17 SIGLAP V
 SINGAPORE 458278",6444 2396,Smart Property Management (Singapore) Pte Ltd,6223 0169
4021,T13MC0123C,31/12/2013,LA DOLCE VITA,Active,347 UPPER PAYA LEBAR ROAD SINGAPORE 534956,"347 UPPER PAYA LEBAR ROAD
LA DOLCE VITA
 SINGAPORE 534956",63420778,,
4022,T14MC0090J,26/08/2014,RIA APARTMENT,Active,1 JALAN PASIR RIA SINGAPORE 119462,"1 JALAN PASIR RIA
RIA APARTMENTS
 SINGAPORE 119462",9653 7983,SMART PROPERTY MANAGEMENT (S) PTE LTD,6223 0169
4023,T14MC0022K,18/03/2014,NATURALIS,Active,2 LORONG M TELOK KURAU SINGAPORE 425279,"2 LORONG M TELOK KURAU
NATURALIS (MANAGEMENT LETTERBOX)
 SINGAPORE 425279",67833853,Summit Property Management Pte Ltd,67833853
4024,T14MC0044A,23/05/2014,CANBERRA RESIDENCES,Active,501 CANBERRA DRIVE SINGAPORE 768124,"525 CANBERRA DRIVE
#B1-59 CANBERRA RESIDENCES
 SINGAPORE 768136",63390334,Newman & Goh Property Consultants Pte Ltd,62569333
4025,T13MC0103D,28/10/2013,FIFTEEN ROBIN,Active,15 ROBIN ROAD SINGAPORE 258196,"15 ROBIN ROAD
#01-01 FIFTEEN ROBIN
 SINGAPORE 258196",64111678,Chambers Property Management Services Pte Ltd,64111678
4026,T14MC0001D,06/01/2014,VERDANA VILLAS,Active,113 GRACE WALK SINGAPORE 554480,"113 GRACE WALK
#113-00 VERDANA VILLAS
 SINGAPORE 554480",87962256,Asia Properties & Assets Consultancy Pte Ltd,87962256
4027,T14MC0082G,08/06/2014,ARCSPHERE,Active,124 LORONG 23 GEYLANG SINGAPORE 388405,"124 LORONG 23 GEYLANG
#01-02 ARCSPHERE
 SINGAPORE 388405",68861936,Ocean IFM Pte Ltd,68861936
4029,T14MC0010B,24/01/2014,THE OLIV,Active,11C BALMORAL ROAD SINGAPORE 259798,"11C BALMORAL ROAD
#01-03 THE OLIV
 SINGAPORE 259798",62981416,LE Property Consultancy Pte Ltd,62981416
4030,T14MC0071F,11/07/2014,BLU CORAL,Active,30 TUAS VIEW SQUARE SINGAPORE 637071,"127 TUAS VIEW SQUARE
BLU CORAL
 SINGAPORE 425562",62230169,,
4031,T14MC0027A,13/03/2014,BEACON HEIGHTS,Active,8 MAR THOMA ROAD SINGAPORE 328689,"8 MAR THOMA ROAD
#01-07 BEACON HEIGHTS
 SINGAPORE 328689",66048845,CWL Facilities Management Pte Ltd,6547 4828
4032,T14MC0016L,14/02/2014,PARC ELEGANCE,Active,11 TELOK KURAU ROAD SINGAPORE 423761,"701 GEYLANG ROAD
#03-04 TEAMBUILD CENTRE
 SINGAPORE 389687",85226791,Barringham International Property Management Pte Ltd,85226791
4033,T14MC0029D,19/03/2014,THE CHERRYWOOD,Active,120 LORONG L TELOK KURAU SINGAPORE 425553,"8 BURN ROAD
#17-06 TRIVEX
 SINGAPORE 369977",67026018,Absolut Properties Pte Ltd,67026018
4034,T14MC0021C,06/03/2014,HAIG 162,Active,162 HAIG ROAD SINGAPORE 438773,"162 HAIG ROAD
#01-01 HAIG 162
 SINGAPORE 438773",97965570,Asia Properties & Assets Consultancy Pte Ltd,97965570
4035,T14MC0002L,08/01/2014,FIRST POINT SUITES,Active,59 LORONG H TELOK KURAU SINGAPORE 426068,"59 LORONG H TELOK KURAU
FIRST POINT SUITES, MCST LETTERBOX,
 SINGAPORE 426068",6274 7305,Camrie Project and Estate Management,6274 7305
4036,T14MC0012E,05/02/2014,THE WATERLINE,Active,167 POH HUAT ROAD WEST SINGAPORE 546697,"167 POH HUAT ROAD WEST
#B1-22 THE WATERLINE
 SINGAPORE 546692",64446992,Newman & Goh Property Consultants Pte Ltd,64446992
